"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV_LIST","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","EVAL","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"7172a","CZ0724090","Bílé Karpaty","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,513107,NA,2004-08-04
"6072c","CZ0813448","Jakartovice","Phengaris nausithous","6179",0,1,1,"sečení,eutrofizace",0,NA,1,2,0,0,50257947,2020-08-14,2021-07-28
"6172a","CZ0813448","Jakartovice","Phengaris nausithous","6179",0,1,1,"eutrofizace,hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,50257945,2020-08-16,2005-07-24
"6174b","CZ0813449","Jilešovice - Děhylov","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,45478299,NA,2018-07-30
"6175a","CZ0813449","Jilešovice - Děhylov","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,505825,NA,2005-07-25
"6175c","CZ0814092","Poodří","Phengaris nausithous","6179",0,1,1,"žádné",1,NA,1,3,0,0,50257809,2020-07-28,2006-07-25
"6274d","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52977784,NA,2021-02-22
"6275a","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52977792,NA,2022-07-28
"6275c","CZ0814092","Poodří","Phengaris nausithous","6179",1,1,1,"sečení",0,1,1,4,0.5,1,46498400,2018-07-20,2019-07-22
"6373b","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,47567642,NA,2019-07-25
"6373c","CZ0814092","Poodří","Phengaris nausithous","6179",1,1,1,"sečení,sešlapávání, nadměrné využívání",0,0,1,3,0.5,1,46498319,2018-07-21,2022-08-02
"6373d","CZ0814092","Poodří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52977789,NA,2022-07-27
"6374a","CZ0814092","Poodří","Phengaris nausithous","6179",1,1,1,"sečení",0,1,1,4,0.5,1,46498396,2018-07-15,2022-08-03
"6151c","CZ0214005","Andělské schody","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,50258134,2020-07-29,2020-07-29
"6249d","CZ0214040","Louky u Drahlína","Phengaris teleius","6177",1,1,1,"nevhodná pastva (vysoká intenzita, termín apod.)",0,0,1,3,0.5,1,52919462,2021-08-03,2021-08-03
"7254b","CZ0313004","Terčino údolí","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,52919417,2021-07-13,2021-07-13
"7154a","CZ0313123","Stropnice","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,50258207,2020-07-23,2021-07-16
"7154d","CZ0313123","Stropnice","Phengaris teleius","6177",0,1,1,"sečení",0,0,1,2,0,1,50258213,2020-07-21,2014-07-16
"7150b","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,11521719,NA,2009-07-14
"7150d","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45663062,NA,2016-07-17
"7151a","CZ0314123","Boletice","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,48053421,2019-07-08,2019-07-08
"7151c","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,48734126,NA,2019-07-24
"7250a","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45519450,NA,2016-07-07
"7250b","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,52966777,NA,2022-07-05
"7051c","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"žádné",1,NA,1,4,0.5,0,52919431,2021-08-10,2021-08-10
"7051d","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"sečení",0,0,1,3,0.5,1,48053411,2019-07-23,2019-07-23
"7052c","CZ0314124","Blanský les","Phengaris teleius","6177",0,1,1,"žádné",1,NA,1,3,0,0,50258227,2020-07-27,NA
"7151a","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"pastva,sečení",0,0,1,3,0.5,1,52919422,2021-07-28,2021-07-30
"7151b","CZ0314124","Blanský les","Phengaris teleius","6177",0,1,1,"žádné",1,NA,1,3,0,0,50258223,2020-07-27,2020-07-29
"7151c","CZ0314124","Blanský les","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,12251337,NA,2010-07-16
"7151d","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"sečení",0,0,1,3,0.5,1,50258221,2020-07-30,2020-07-30
"7152a","CZ0314124","Blanský les","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45535544,NA,2017-06-30
"7152c","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,48053409,2019-07-23,2019-07-23
"6147b","CZ0323150","Kamenec","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,44431684,NA,2018-07-12
"5546a","CZ0424030","Bezručovo údolí","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,48917558,NA,2011-01-01
"5349a","CZ0424127","Východní Krušnohoří","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,26275595,NA,2003-07-20
"5353a","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,52924036,NA,2022-07-02
"5353b","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",1,1,1,"vysychání (mokřadního ekosystému)",0,0,1,3,0.5,1,46498347,2018-07-17,2018-07-17
"5354c","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,sečení",0,0,1,2,0,1,50258253,2020-08-07,2018-07-19
"5352c","CZ0514670","Ronov - Vlhošť","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,46498438,2018-07-20,2018-07-20
"5352d","CZ0514670","Ronov - Vlhošť","Phengaris teleius","6177",1,1,1,"hnojení,sečení",0,0,1,3,0.5,1,46498352,2018-08-17,2018-08-17
"5861a","CZ0523010","Na Plachtě","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,49928480,NA,2018-07-22
"5563b","CZ0523014","Vladivostok","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,50278911,NA,2020-08-22
"5764c","CZ0523275","Kačerov","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,506243,NA,2005-07-28
"6261b","CZ0534055","Ratajské rybníky","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51176295,NA,2021-07-19
"5959a","CZ0537011","Louky u Přelouče","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290654,NA,2021-07-29
"5959c","CZ0537011","Louky u Přelouče","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290672,NA,2021-07-29
"6872a","CZ0723403","Uhliska","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45736301,NA,2018-07-21
"6872c","CZ0723403","Uhliska","Phengaris teleius","6177",1,1,1,"sečení,vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,50258398,2020-07-24,2020-07-24
"7071d","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,34693216,NA,2010-07-29
"7072b","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51312075,NA,2021-08-19
"7072c","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,52958938,NA,2022-07-21
"7072d","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51980128,NA,2021-08-14
"7073a","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,49833882,NA,2020-08-08
"7073c","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",0,1,1,"eutrofizace,vývoj biocenózy, sukcese všeobecně",0,0,1,2,0,1,50258114,2020-08-20,2021-08-07
"7171a","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",0,1,1,"vývoj biocenózy, sukcese všeobecně",0,1,1,3,0,1,50258056,2020-08-21,2014-06-15
"7171b","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",0,1,1,"eutrofizace,sečení",0,NA,1,2,0,0,50258062,2020-08-21,2021-08-12
"7171c","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",0,1,1,"vysychání (mokřadního ekosystému),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,50258068,2020-08-20,2020-07-25
"7171d","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",0,1,1,"vývoj biocenózy, sukcese všeobecně,vysychání (mokřadního ekosystému)",0,NA,1,2,0,0,50258066,2020-08-20,NA
"7172a","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,12315101,NA,2010-07-17
