"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0214017","Karlštejn - Koda","štola za trafačkou v Tomáškově lomu","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2021-01-31,1
"CZ0214017","Karlštejn - Koda","štoly v lomu Kozel - Alkazar","Barbastella barbastellus","1308",1,1,19,60,25,34,40,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Terasová jeskyně","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2022-01-31,0
"CZ0214017","Karlštejn - Koda","Tetínská chodba","Barbastella barbastellus","1308",NA,NA,NA,60,25,34,40,NA,2018-01-29,0
"CZ0214017","Karlštejn - Koda","Troj-štolí","Barbastella barbastellus","1308",1,1,1,60,25,34,40,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","Velikonoční štola","Barbastella barbastellus","1308",1,1,3,60,25,34,40,0,2021-02-02,1
"CZ0214017","Karlštejn - Koda","3. štola u trati","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","Alkazar","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2016-10-04,0
"CZ0214017","Karlštejn - Koda","Alkazar - Kozel","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2019-01-28,0
"CZ0214017","Karlštejn - Koda","Aragonitová jeskyně","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2022-01-29,0
"CZ0214017","Karlštejn - Koda","Barrandova jeskyně","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2022-01-30,1
"CZ0214017","Karlštejn - Koda","Budňany - Rudolfka","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2019-01-30,0
"CZ0214017","Karlštejn - Koda","Budňany - sklep pod konírnou na hradě Karlštejn","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2020-01-31,0
"CZ0214017","Karlštejn - Koda","Černý lom - chodba","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2020-01-28,0
"CZ0214017","Karlštejn - Koda","Devítikorunová jeskyně","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2022-01-31,0
"CZ0214017","Karlštejn - Koda","Drahuščina štola","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2016-01-30,0
"CZ0214017","Karlštejn - Koda","Gaislerova štola","Myotis myotis","1324",1,1,48,1202,1200,704,1512,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","Gaislerova štola, Liščí lom","Myotis myotis","1324",1,1,49,1202,1200,704,1512,0,2021-02-21,1
"CZ0214017","Karlštejn - Koda","Hostim u Berouna","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2020-08-20,0
"CZ0214017","Karlštejn - Koda","Jeskyně Arnoldka","Myotis myotis","1324",1,1,134,1202,1200,704,1512,1,2022-01-29,2
"CZ0214017","Karlštejn - Koda","jeskyně Dynamitka","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2021-02-03,1
"CZ0214017","Karlštejn - Koda","jeskyně Kádelnice","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2021-01-31,1
"CZ0214017","Karlštejn - Koda","jeskyně Kostelík","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2020-01-26,0
"CZ0214017","Karlštejn - Koda","jeskyně Metro","Myotis myotis","1324",1,1,8,1202,1200,704,1512,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","jeskyně Na Jarnici","Myotis myotis","1324",1,1,10,1202,1200,704,1512,1,2021-02-05,2
"CZ0214017","Karlštejn - Koda","jeskyně Nad Kačákem","Myotis myotis","1324",1,1,6,1202,1200,704,1512,1,2022-02-02,2
"CZ0214017","Karlštejn - Koda","jeskyně V Kodském polesí","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2022-01-31,1
"CZ0214017","Karlštejn - Koda","Karlštejn - hrad Císařský palác","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2021-08-02,1
"CZ0214017","Karlštejn - Koda","Karlštejn - hradní studna","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2020-02-16,0
"CZ0214017","Karlštejn - Koda","Krápníková jeskyně v Šanově koutě","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2022-01-30,0
"CZ0214017","Karlštejn - Koda","kruhová pec v Tomáškově lomu","Myotis myotis","1324",1,1,1,1202,1200,704,1512,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Loděnice","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2017-07-25,0
"CZ0214017","Karlštejn - Koda","Malá Amerika","Myotis myotis","1324",1,1,506,1202,1200,704,1512,1,2021-02-26,2
"CZ0214017","Karlštejn - Koda","Malá Romanovského štola","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","pravá štola v lomu Rybízák","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2021-02-05,2
"CZ0214017","Karlštejn - Koda","propast Amerika II.","Myotis myotis","1324",1,1,81,1202,1200,704,1512,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","propast Čeřinka","Myotis myotis","1324",1,1,17,1202,1200,704,1512,1,2022-01-29,2
"CZ0214017","Karlštejn - Koda","Průtahová štola","Myotis myotis","1324",1,1,15,1202,1200,704,1512,1,2022-01-29,2
"CZ0214017","Karlštejn - Koda","Romanovského štola","Myotis myotis","1324",1,1,10,1202,1200,704,1512,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","Rudolfova jeskyně","Myotis myotis","1324",1,1,4,1202,1200,704,1512,1,2022-02-02,2
"CZ0214017","Karlštejn - Koda","Sedmisálová jeskyně","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Srbské jeskyně","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","Srbské jeskyně a jeskyně Netopýrka","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2017-01-29,0
"CZ0214017","Karlštejn - Koda","Srbsko - lom Alkazar","Myotis myotis","1324",1,1,NA,1202,1200,704,1512,NA,2021-08-21,1
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2020-07-19,0
"CZ0214017","Karlštejn - Koda","Srbsko u Karlštejna - Chlumské jeskyně","Myotis myotis","1324",1,1,4,1202,1200,704,1512,0,2021-01-31,1
"CZ0214017","Karlštejn - Koda","Stará Aragonitka","Myotis myotis","1324",1,1,2,1202,1200,704,1512,0,2021-01-30,1
"CZ0214017","Karlštejn - Koda","Svatý Jan pod Skalou - půda kostela","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2020-07-25,0
"CZ0214017","Karlštejn - Koda","Svatý Jan pod skalou - sklepy v klášteře","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2021-02-03,2
"CZ0214017","Karlštejn - Koda","Svážná Rešna","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2021-02-02,1
"CZ0214017","Karlštejn - Koda","štola Modlitebna","Myotis myotis","1324",1,1,3,1202,1200,704,1512,1,2022-02-03,2
"CZ0214017","Karlštejn - Koda","štola v Beranově lomu","Myotis myotis","1324",1,1,2,1202,1200,704,1512,0,2021-02-03,1
"CZ0214017","Karlštejn - Koda","Štola v rokli","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2022-01-30,0
"CZ0214017","Karlštejn - Koda","štola v Tetínské rokli","Myotis myotis","1324",1,1,1,1202,1200,704,1512,1,2021-02-01,2
"CZ0214017","Karlštejn - Koda","Štoly v lomu Alkazar - levá","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,NA,2019-08-09,0
"CZ0214017","Karlštejn - Koda","štoly v lomu Kozel - Alkazar","Myotis myotis","1324",1,1,251,1202,1200,704,1512,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Terasová jeskyně","Myotis myotis","1324",NA,NA,NA,1202,1200,704,1512,0,2022-01-31,0
"CZ0214017","Karlštejn - Koda","Tetínská chodba","Myotis myotis","1324",1,1,1,1202,1200,704,1512,0,2021-02-01,1
"CZ0214017","Karlštejn - Koda","Tetínská propástka II","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2022-01-31,2
"CZ0214017","Karlštejn - Koda","Tomáškova propast","Myotis myotis","1324",1,1,22,1202,1200,704,1512,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Troj-štolí","Myotis myotis","1324",1,1,2,1202,1200,704,1512,1,2022-01-30,2
"CZ0214017","Karlštejn - Koda","Velikonoční štola","Myotis myotis","1324",1,1,8,1202,1200,704,1512,1,2021-02-02,2
"CZ0313635","Kratochvíle - zámek","Kratochvíle-zámek","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2017-07-28,0
"CZ0314024","Šumava","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ","Myotis myotis","1324",NA,NA,NA,0,1,0,0,NA,2017-11-11,0
"CZ0314024","Šumava","Czech Republic -Kašperské Hory","Myotis myotis","1324",NA,NA,NA,0,1,0,0,NA,2016-03-04,0
"CZ0314024","Šumava","Červená 18, 341 92 Kašperské Hory, Česko","Myotis myotis","1324",NA,NA,NA,0,1,0,0,NA,2017-11-11,0
"CZ0314024","Šumava","Klatovy, Krkonošská národní park, CZ-PK, CZ","Myotis myotis","1324",NA,NA,NA,0,1,0,0,NA,2017-11-11,0
"CZ0314024","Šumava","NPR Boubínský prales","Myotis myotis","1324",NA,NA,NA,0,1,0,0,0,2020-08-27,0
"CZ0314024","Šumava","PR Milešický prales 1154","Myotis myotis","1324",NA,NA,NA,0,1,0,0,NA,2020-08-16,0
"CZ0314024","Šumava","341 92 Kašperské Hory, Kašperské Hory, Regio Plzeň CZ","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,2,NA,2017-11-11,0
"CZ0314024","Šumava","Červená 18, 341 92 Kašperské Hory, Česko","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,2,NA,2017-11-11,0
"CZ0314024","Šumava","Chalupa v osadě Jirkalov (k. ú. Stachy).","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,2,NA,2018-09-28,0
"CZ0314024","Šumava","Klatovy, Krkonošská národní park, CZ-PK, CZ","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,2,NA,2017-11-11,0
"CZ0314024","Šumava","Stachy (Jirkalov)","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,0,2,NA,2017-09-28,0
"CZ0314124","Blanský les","Jamné - 3 štoly v údolí Vltavy","Myotis myotis","1324",NA,NA,NA,0,6,6,9,0,2020-01-20,0
"CZ0314124","Blanský les","Třísov - štola","Myotis myotis","1324",NA,NA,NA,0,6,6,9,0,2020-01-20,0
"CZ0314634","Chýnovská jeskyně","Chýnovská jeskyně","Myotis myotis","1324",NA,NA,NA,0,32,35,55,0,2020-02-05,0
"CZ0323636","Dolany - kostel","Dolany","Myotis myotis","1324",NA,NA,NA,0,612,614,685,0,2020-07-08,0
"CZ0323637","Štola Rohatiny I","Kočín - štola","Myotis myotis","1324",NA,NA,NA,0,0,0,13,NA,2018-02-02,0
"CZ0323638","Jeskyně Inků","Výškovice - štola Jeskyně Inků","Barbastella barbastellus","1308",1,1,5,5,6,4,6,1,2021-01-28,2
"CZ0323639","Liblín - lihovar","EVL Liblín - lihovar","Myotis myotis","1324",NA,NA,NA,0,127,114,113,0,2020-07-08,0
"CZ0323639","Liblín - lihovar","Liblín - sklepy lihovaru","Myotis myotis","1324",NA,NA,NA,0,127,114,113,NA,2018-02-01,0
"CZ0323640","Manětín - kostel","Manětín","Myotis myotis","1324",NA,NA,NA,0,2174,2115,1612,0,2020-07-08,0
"CZ0323642","Radnice - kostel","Radnice u Rokycan","Myotis myotis","1324",NA,NA,NA,0,431,381,398,0,2020-07-08,0
"CZ0323645","Štola Věra","EVL Štola Věra","Myotis myotis","1324",1,1,23,23,7,8,13,1,2021-01-28,2
"CZ0323646","Stříbro - štoly Dlouhý tah","Stříbro - štola Dlouhý tah","Barbastella barbastellus","1308",NA,NA,NA,0,0,0,2,NA,2018-01-30,0
"CZ0323647","Všeruby - kostel","Všeruby u Plzně","Myotis myotis","1324",NA,NA,NA,0,117,145,116,0,2020-07-08,0
"CZ0414110","Krušnohorské plató","Hřebečná - Bludná - Wildbahner","Myotis myotis","1324",1,1,1,182,300,386,139,0,2021-02-10,1
"CZ0414110","Krušnohorské plató","Hřebečná - Mauricius","Myotis myotis","1324",NA,NA,NA,182,300,386,139,NA,2016-02-27,0
"CZ0414110","Krušnohorské plató","Hřebečná - štola Kryštof (spojeno s Mauricius)","Myotis myotis","1324",1,1,9,182,300,386,139,1,2021-02-11,2
