"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","OVERALL","SUFFICIENT"
"CZ0414127","CZ0414127_91","Hradiště Albeřické rybníky tůň I","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_92","Hradiště Albeřické rybníky tůň J","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_93","Hradiště Albeřické rybníky tůň K","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_94","Hradiště Albeřické rybníky tůň L","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_95","Hradiště Albeřické rybníky tůň M","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_96","Hradiště Albeřické rybníky tůň N","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_97","Hradiště Albeřické rybníky tůň O","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_98","Hradiště Albeřické rybníky tůň P","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_99","Hradiště Albeřické rybníky tůň Q","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127100","Hradiště Albeřické rybníky tůň R","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127101","Hradiště Albeřické rybníky tůň S","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127102","Hradiště Albeřické rybníky tůň T","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127103","Hradiště Albeřické rybníky tůň U","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127104","Hradiště Albeřice rybník 1","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0414127","CZ0414127105","Albeřice rybník 2","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0414127","CZ0414127106","Hradiště kaluže pod Hradištěm","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0423006","CZ0423006","Nebeský rybníček v osadě Veselí","Triturus cristatus",1,0,1,1,1,1,1,NA,1,1,0.5,0
"CZ0423202","CZ0423202_1","EVL Březina - Vojenský rybník","Triturus cristatus",1,NA,1,1,1,0,1,1,1,1,0.5,0
"CZ0423202","CZ0423202_2","EVL Březina - tůň","Triturus cristatus",0,NA,1,1,1,1,1,1,1,1,0,0
"CZ0423202","CZ0423202_3","EVL Březina - rašeliniště","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0423206","CZ0423206_1","Dobrná","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0423206","CZ0423206_2","Dobrná","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423215","CZ0423215","Kateřina mokřad","Triturus cristatus",0,1,1,0,1,1,0,1,1,1,0,0
"CZ0423216","CZ0423216_1","K088","Triturus cristatus",1,1,1,1,1,1,1,0,1,1,0.5,0
"CZ0423216","CZ0423216_10","K275+K176","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_2","K049","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_3","K229","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_4","K066","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_5","K078","Triturus cristatus",1,1,1,1,1,1,1,0,1,1,0.5,0
"CZ0423216","CZ0423216_6","K282+K162","Triturus cristatus",1,1,1,1,1,1,1,0,1,1,0.5,0
"CZ0423216","CZ0423216_7","K296+K298","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_8","K234","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_9","K254","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423660","CZ0423660_1","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_2","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_3","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0423660","CZ0423660_4","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_5","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_6","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_7","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_8","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0423660","CZ0423660_9","Pražská pole","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0424125","CZ0424125_1","Velichov – rybník v obci","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0424125","CZ0424125_10","Okounov – rybník v obci","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0424125","CZ0424125_11","Lestkov","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0424125","CZ0424125_12","Meziříčí","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0424125","CZ0424125_13","Okounov – rybník v oboře","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0424125","CZ0424125_14","Úhošť","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0424125","CZ0424125_15","Rašovický rybník","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0424125","CZ0424125_16","Ráj – rybník na pastvině","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0424125","CZ0424125_18","Nová Kyselka – pod silnicí","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
