"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","ZASTIN_P10","OVERALL","SUFFICIENT"
"CZ0414127","CZ0414127_94","Hradiště Albeřické rybníky tůň L","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_95","Hradiště Albeřické rybníky tůň M","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_96","Hradiště Albeřické rybníky tůň N","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_97","Hradiště Albeřické rybníky tůň O","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_98","Hradiště Albeřické rybníky tůň P","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_99","Hradiště Albeřické rybníky tůň Q","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127100","Hradiště Albeřické rybníky tůň R","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127101","Hradiště Albeřické rybníky tůň S","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127102","Hradiště Albeřické rybníky tůň T","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127103","Hradiště Albeřické rybníky tůň U","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127104","Hradiště Albeřice rybník 1","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127105","Albeřice rybník 2","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127106","Hradiště kaluže pod Hradištěm","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0423211","CZ0423211_1","Háj u Oseka","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0423211","CZ0423211_2","Háj u Oseka","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0423215","CZ0423215_1","Kateřina - mokřad","Bombina bombina",0,0,1,0,0,1,0,0,1,1,1,0,0
"CZ0423215","CZ0423215_2","Kateřina - mokřad","Bombina bombina",0,0,1,0,0,1,0,0,1,1,1,0,0
"CZ0423216","CZ0423216_10","K275+K176","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ0423216","CZ0423216_11","K312+K135","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_12","K008","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_13","K016","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_14","K051","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_15","K063+K064","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_16","K075+K076","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_17","K123","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_18","K138","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_19","K144","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_2","K049","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_20","K145+K146","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_21","K216+K217","Bombina bombina",1,0,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_22","K220","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_23","K227","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_24","K305","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_3","K229","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_4","K066","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_8","K234","Bombina bombina",1,0,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423216","CZ0423216_9","K254","Bombina bombina",1,1,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423228","CZ0423228","Strádovský rybník","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,0,0.5,0
"CZ0423660","CZ0423660_1","Pražská pole","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0423660","CZ0423660_2","Pražská pole","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0423660","CZ0423660_3","Pražská pole","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0423660","CZ0423660_4","Pražská pole","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0423660","CZ0423660_5","Pražská pole","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0423660","CZ0423660_6","Pražská pole","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
