"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE","POP","HABLOS","PRED","TRANSP","REPRO","WATER","DRY","VEG","OVERALL","SUFFICIENT"
"amp64","amp64","Blovice - cihelna","Bombina variegata",1,NA,0,1,NA,1,1,1,1,NA,NA
"amp65","amp65","Dobřany - vojenské cvičiště","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp67","amp67/ay","Rokycany - vojenské cvičiště - nová plocha JV od depozitu","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/be","Rokycany - vojenské cvičiště - plocha J od depozitu","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp67","amp67/bg","Rokycany - vojenské cvičiště - nové tůně V od muzea - V","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp67","amp67/bh","Rokycany - vojenské cvičiště - za plotem - SZ","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp67","amp67/bi","Rokycany - vojenské cvičiště - tůň za plotem JZ od vjezdu","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/bj","Rokycany - vojenské cvičiště - kanál před drtírnou","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp67","amp67/bk","Rokycany - vojenské cvičiště - louže SZ od schodů","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp67","amp67/bl","Rokycany - vojenské cvičiště - Z od cesty ke schodům","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/f","Rokycany - vojenské cvičiště - J od panelky - střed","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp67","amp67/g","Rokycany - vojenské cvičiště - Z od valu - Z","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp67","amp67/j","Rokycany - vojenské cvičiště - louže před muzeem velká Z","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp67","amp67/o","Rokycany - vojenské cvičiště - koleje JV od valu","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/p","Rokycany - vojenské cvičiště - louže V od muzea","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/v","Rokycany - vojenské cvičiště - nová tůň V od muzea (JV)","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp67","amp67/w","Rokycany - vojenské cvičiště - nová tůň V od požární nádrže (JZ)","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp67","amp67/z","Rokycany - vojenské cvičiště - louže na cestě JV od požární nádrže","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp68","amp68","Smržovice - koupaliště","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp69","amp69/a","Vlčí hora - horní louže","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp69","amp69/b","Vlčí hora - horní soustava","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp69","amp69/d","Vlčí hora - horní velká - kaliště","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp69","amp69/e","Vlčí hora - horní velká","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp69","amp69/f","Vlčí hora - dolní velká","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp69","amp69/g","Vlčí hora - soustava pod dolní velkou","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp69","amp69/h","Vlčí hora - čtverec","Bombina variegata",0,NA,1,1,0,1,1,1,0,0,0
"amp69","amp69/i","Vlčí hora - řada V (levá, k louce)","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp69","amp69/j","Vlčí hora - řada Z (pravá, k lesu)","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp69","amp69/k","Vlčí hora - nad cestou","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp69","amp69/l","Vlčí hora - pod cestou","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp69","amp69/m","Vlčí hora - pod lesem","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp69","amp69/n","Vlčí hora - u vrby","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp69","amp69/o","Vlčí hora - dlouhá","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp69","amp69/p","Vlčí hora - velká se smrkem","Bombina variegata",0,NA,1,1,0,1,1,1,1,0,0
"amp69","amp69/q","Vlčí hora - tůň nad velkou se SM","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp69","amp69/r","Vlčí hora - tůň západně od velké se smrkem","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/aa","Stříbro - tůň SZ od zákopu 4","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ab","Stříbro - tůň S od zákopu 4","Bombina variegata",0,NA,1,1,NA,1,1,1,1,0,0
"amp70","amp70/ad","Stříbro - louže V od zákopu 4","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/af","Stříbro - zákop 5","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/ai","Stříbro - louže na cestě před zákopy","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/aj","Stříbro - tůňka u louky","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ak","Stříbro - tůň ve vrbách","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/am","Stříbro - J cesta - tůň Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/an","Stříbro - J cesta - tůň 15 m V od Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ap","Stříbro - J cesta - tůň 10 m Z od křižovatky","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ar","Stříbro - J cesta - tůň křižovatka","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/at","Stříbro - J cesta - tůň V od půlené","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/av","Stříbro - Z cesta - velká tůň J","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/ax","Stříbro - Z cesta - velká tůň střed","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ay","Stříbro - Z cesta - velká tůň S","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/az","Stříbro - S cesta - tůň na Z křižovatce","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/b","Stříbro - louže pod kopcem","Bombina variegata",0,NA,1,1,NA,1,1,1,0,0,0
"amp70","amp70/ba","Stříbro - S cesta - 1. tůň Z od Z křižovatky","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/bb","Stříbro - S cesta - 2. tůň Z od Z křižovatky","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/be","Stříbro - S cesta - 5. tůň Z od Z křižovatky - SZ","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bf","Stříbro - S cesta - 6. tůň Z od Z křižovatky - SZ","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/bg","Stříbro - S cesta - V křižovatka - S","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bh","Stříbro - S cesta - V křižovatka - Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bi","Stříbro - S cesta - V křižovatka - střed","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/bk","Stříbro - S cesta - tůň V od V křižovatky","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bl","Stříbro - S cesta - tůň V od V křižovatky - velká","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/bm","Stříbro - S cesta - V od V křižovatky - koleje","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/bp","Stříbro - V cesta - tůň 20 m J od křižovatky na S","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
