SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0310074;3150;NA;NA;NA
CZ0310080;7150;NA;NA;NA
CZ0310080;7140;NA;NA;NA
CZ0310084;8210;NA;NA;NA
CZ0310084;6210;NA;NA;NA
CZ0310084;6110;NA;NA;NA
CZ0310163;9410;2,773092865;1,083738426;8
CZ0310163;9130;0,012514198;0;1
CZ0310163;9110;1,35041594;1,026346287;5
CZ0310605;91D0;5,050684975;2,992320945;2
CZ0310610;7120;NA;NA;NA
CZ0310610;91D0;8,566847157;7,517016275;3
CZ0310611;7140;NA;NA;NA
CZ0310611;91D0;0;0;0
CZ0310615;2330;NA;NA;NA
CZ0310618;3150;NA;NA;NA
CZ0310629;3160;NA;NA;NA
CZ0310629;3140;NA;NA;NA
CZ0310630;3140;NA;NA;NA
CZ0313098;7140;NA;NA;NA
CZ0313098;3160;NA;NA;NA
CZ0313128;7150;NA;NA;NA
CZ0313138;6410;NA;NA;NA
CZ0313138;3150;NA;NA;NA
CZ0313513;7110;NA;NA;NA
CZ0313513;91D0;0;0;0
CZ0314021;6410;NA;NA;NA
CZ0314021;7140;NA;NA;NA
CZ0314021;3160;NA;NA;NA
CZ0314021;91D0;0;0;1
CZ0314021;91T0;0;0;0
CZ0314022;9130;3,212361226;0;8
CZ0314022;9110;4,304093764;0;21
CZ0314022;3260;NA;NA;NA
CZ0314022;9,10E+01;0,405715092;0;10
CZ0314022;3140;NA;NA;NA
CZ0314023;2330;NA;NA;NA
CZ0314023;7150;NA;NA;NA
CZ0314023;7140;NA;NA;NA
CZ0314023;3160;NA;NA;NA
CZ0314023;9,10E+01;0;0;0
CZ0314023;91F0;0,128241767;0;1
CZ0314023;9190;1,271017407;0;8
CZ0314024;9410;1373,251271;859,4834889;1525
CZ0314024;7110;NA;NA;NA
CZ0314024;6410;NA;NA;NA
CZ0314024;9130;83,11024391;44,21500931;191
CZ0314024;9110;844,1754471;427,8252496;1731
CZ0314024;7120;NA;NA;NA
CZ0314024;6230;NA;NA;NA
CZ0314024;4030;NA;NA;NA
CZ0314024;6510;NA;NA;NA
CZ0314024;5130;NA;NA;NA
CZ0314024;6520;NA;NA;NA
CZ0314024;8220;NA;NA;NA
CZ0314024;9180;60,63372643;27,74826407;183
CZ0314024;3260;NA;NA;NA
CZ0314024;3130;NA;NA;NA
CZ0314024;7140;NA;NA;NA
CZ0314024;3160;NA;NA;NA
CZ0314024;3150;NA;NA;NA
CZ0314024;91D0;54,04071279;16,23840665;363
CZ0314024;9,10E+01;64,48261314;22,92149176;407
CZ0314024;6430;NA;NA;NA
CZ0314044;6510;NA;NA;NA
CZ0314044;8210;NA;NA;NA
CZ0314044;8310;NA;NA;NA
CZ0314044;91U0;0;0;0
CZ0314044;6110;NA;NA;NA
CZ0314109;7150;NA;NA;NA
CZ0314109;7140;NA;NA;NA
CZ0314109;3160;NA;NA;NA
CZ0314109;91D0;0,18843741;0;4
CZ0314123;6410;NA;NA;NA
CZ0314123;9130;480,0161367;355,9056169;426
CZ0314123;9110;168,3489202;87,96598626;349
CZ0314123;7120;NA;NA;NA
CZ0314123;6230;NA;NA;NA
CZ0314123;6510;NA;NA;NA
CZ0314123;8220;NA;NA;NA
CZ0314123;9180;20,01440762;11,55968062;60
CZ0314123;7140;NA;NA;NA
