"SITECODE","NAZEV","FEATURE_CODE","DRUH","PRESENCE","PRESENCE_WINTER","ABUNDANCE","CHANGE_SITES","CHANGE_NUM","CHANGE_ALL","OVERALL","SUFFICIENT","LAST_FIND"
"CZ0723753","Luhačovice - zámek","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723753","Luhačovice - zámek","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723754","Pozděchov - kostel","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723755","Rusava - kostel","1324","Myotis myotis",1,1,389,1,1.27124183006536,1,2,1,2021-07-15
"CZ0723756","Slavičín - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723757","Slavičín - zámek","1321","Myotis emarginatus",NA,NA,0,NA,NA,NA,0,NA,2017-08-11
"CZ0723758","Slušovice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0723759","Štola Sintrová","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0724089","Beskydy","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-12-05
"CZ0810018","Sovinec","1308","Barbastella barbastellus",NA,NA,0,NA,NA,NA,0,NA,2019-01-03
"CZ0813760","Černý důl","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-01-12
"CZ0813763","Javorový vrch","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-02-08
"CZ0813763","Javorový vrch","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-08
"CZ0813763","Javorový vrch","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-08
"CZ0813764","Staré Oldřůvky","1321","Myotis emarginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0813764","Staré Oldřůvky","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0813765","Štola Franz - Franz","1321","Myotis emarginatus",NA,NA,0,NA,0,0,0,NA,2020-02-08
"CZ0813765","Štola Franz - Franz","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-08
"CZ0813765","Štola Franz - Franz","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-02-08
"CZ0813766","Štola Jakartovice","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-28
"CZ0813767","Zálužná","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0813770","Čermná - důl Potlachový","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-01-04
